Index,Sinhala Comment
137,සුරංග ඔයාගෙ කර්තව්ය ඉතා හොදින් ඉටුකරනවා
138,සජබ දරාගන්න බැරි තත්වයක් වගේ පරාජය ඉදිරියට
139,අමාරැවේ වැටෙන ප්රශ්න ජේවීපී ඵකෙන් අහපු නැති නිවේදක සියලු දෙනාට පිං සිද්ධ වේවා
140,ස්තූතියි සිරසජේවීපි ඵකට දෙන සපෝට් ඵකට
141,හර්ෂන ගෙ අලුත් වැඩ පිලිවෙල නව පිලිවෙත ඇවිල්ල හොරු ටික ජාතික ලැයිස්තුවෙන් දාල අලුත් මූනු ටිකක් ඉස්සරහට දැමීම වෙන්න ඇති
142,මාලිමාවට ජය වෙවා
143,පර දේශපාලුවෝ තොපිලා අවුරුදු හැත්තෑ හයක් පුරාවට මාරුවෙන් මාරුවට කරේ පන පිටින් ඉන්න මිනිසුන්ගේ ලේ උරා බීපූ පිසාචයෝ විදියට හැසුරුනු එකයිතොපිලා අපිට එපා අපිට මාලිමාව ප්රමුඛ ජනාධිපති අනුර කුමාර දිසානායක සහෝදරයා ඇතුළු සහෝදර සහෝදරියන් ක් විශ්වාසයිමාලිමාවට ජය නියතයි මාලිමාවට ජය නියතයි
144,ඉංදියව එක්ක පාලම් හදන්න උබේ අම්මා වෙසිද පකො ලග හිටියනම් ගහනවෙ ඔලව කුඩු වෙන්න පරයා
145,රිලැක්ස්
146,සුරංග උඔලා වගේ උන්ගේ දරැවෝ නිවේදකයෝ වචන්නත් බෑඵහෙම උනොත් නිවේදක පවුල්
147,මොනවා උනත් සුරංග සේනානායක සුපිරි මාධ්ය වේදියෙක් ගලවනවා රෙදි අරුන් ට හෙළුවෙන් ම යන්න
148,සුරංග ඔයා හින්දම තමයි මම මේක බලන්නෙ
149,සුරංග ඔයා නම් මාරයි
150,සුරංග වැනි මාධ්ය වේදීන් මේ පුණ්ය භූමියට දුසිම් ගණන් පහල වේවා
151,කෑගල්ලෙන් එන තාරක කියන එකා මීලග පාර්ලිමේන්තුවට යවන්න එපා
152,සුරංග නම් සුපිරිම මාධ්යවේදියෙක් කවුරු ආවත් ප්රශ්න අහනවා
153,හර්ෂණ හර්ෂණ පාඩුවේ ඉන්න නලින්දට පාඩුවේ ඉන්න දීපං නිකං එයාව පටලගෙන තවත් කිච වෙන්නේ නැතුව
154,ඉස්සර ජේවීපී කීවම ගනන් ගන්නේ නෑ දැන් ජේවිපී එකෙන් කවුද වැඩසටහනට එන්නේ බලාගෙන ඉන්නෙ
155,අද නම් මරු
156,ඔතනට සජියා ආවොත් හිතාගන්න පුළුවන් නේද වෙන දේ ඒකයි නෑවිත් ඉන්නෙ
157,අම්මෝ එන්න කියලා මෙහෙම රෙදි ගලවන එක හරිද
